iter	Passed	Remaining
0	128	102565
1	302	120659
2	435	115785
3	620	123515
4	695	110507
5	730	96733
6	784	88912
7	891	88273
8	1074	94398
9	1253	99013
10	1423	102124
11	1645	108052
12	1848	111908
13	2059	115599
14	2251	117827
15	2441	119609
16	2662	122636
17	2882	125238
18	3111	127905
19	3312	129204
20	3512	130301
21	3686	130369
22	3915	132282
23	4103	132683
24	4293	133083
25	4509	134251
26	4714	134960
27	4901	135141
28	5101	135618
29	5317	136488
30	5532	137233
31	5741	137801
32	5952	138357
33	6142	138396
34	6352	138847
35	6560	139230
36	6766	139544
37	6974	139848
38	7198	140469
39	7390	140428
40	7601	140728
41	7806	140885
42	8007	140971
43	8232	141450
44	8428	141411
45	8641	141651
46	8855	141869
47	9041	141652
48	9275	142160
49	9489	142335
50	9721	142770
51	9965	143344
52	10189	143614
53	10417	143921
54	10643	144168
55	10899	144807
56	11122	144980
57	11337	145045
58	11562	145220
59	11809	145647
60	12004	145437
61	12224	145515
62	12457	145735
63	12704	146100
64	12895	145819
65	13111	145817
66	13348	146034
67	13575	146141
68	13770	145891
69	13982	145814
70	14216	145972
71	14455	146165
72	14693	146328
73	14930	146484
74	15174	146690
75	15416	146862
76	15655	146995
77	15897	147157
78	16115	147080
79	16342	147081
80	16555	146958
81	16788	146999
82	17010	146943
83	17222	146804
84	17437	146679
85	17673	146730
86	17920	146869
87	18170	147016
88	18401	147004
89	18617	146874
90	18835	146755
91	19065	146719
92	19305	146765
93	19510	146534
94	19755	146606
95	19984	146551
96	20206	146447
97	20452	146503
98	20674	146390
99	20880	146165
100	21104	146056
101	21329	145958
102	21554	145858
103	21786	145799
104	21996	145598
105	22203	145372
106	22225	143947
107	22434	143747
108	22665	143686
109	22997	144256
110	23319	144751
111	23603	144993
112	23653	143802
113	23901	143829
114	24159	143907
115	24403	143895
116	24643	143858
117	24880	143800
118	25123	143771
119	25367	143747
120	25588	143593
121	25820	143492
122	26009	143160
123	26235	143027
124	26469	142937
125	26666	142643
126	26900	142550
127	27137	142473
128	27369	142361
129	27594	142219
130	27828	142114
131	28066	142035
132	28301	141932
133	28551	141905
134	28787	141805
135	29042	141797
136	29285	141726
137	29473	141385
138	29698	141225
139	29918	141045
140	30112	140738
141	30338	140583
142	30575	140474
143	30792	140277
144	31062	140319
145	31331	140348
146	31571	140245
147	31826	140209
148	32063	140090
149	32269	139835
150	32520	139772
151	32760	139662
152	33011	139595
153	33251	139484
154	33479	139318
155	33711	139167
156	33934	138980
157	34181	138890
158	34430	138806
159	34654	138619
160	34880	138438
161	35104	138252
162	35324	138046
163	35574	137959
164	35786	137722
165	36011	137538
166	36254	137419
167	36493	137284
168	36709	137063
169	36945	136914
170	37195	136819
171	37420	136628
172	37615	136328
173	37838	136132
174	38091	136040
175	38335	135917
176	38581	135799
177	38798	135577
178	38996	135289
179	39248	135188
180	39463	134960
181	39678	134732
182	39906	134547
183	40121	134320
184	40363	134180
185	40614	134073
186	40820	133811
187	41034	133580
188	41248	133347
189	41491	133209
190	41740	133088
191	41963	132883
192	42184	132674
193	42426	132527
194	42678	132412
195	42891	132176
196	43100	131927
197	43332	131748
198	43543	131506
199	43751	131255
200	43995	131112
201	44220	130910
202	44435	130678
203	44621	130363
204	44843	130154
205	45059	129929
206	45245	129616
207	45441	129334
208	45674	129157
209	45872	128879
210	46081	128636
211	46271	128338
212	46429	127952
213	46633	127697
214	46858	127498
215	47068	127258
216	47293	127059
217	47530	126894
218	47748	126674
219	47959	126438
220	48168	126196
221	48384	125973
222	48595	125738
223	48798	125481
224	49008	125243
225	49292	125195
226	49583	125160
227	49831	125015
228	50084	124883
229	50341	124759
230	50574	124575
231	50789	124345
232	51027	124173
233	51280	124038
234	51489	123794
235	51733	123634
236	51964	123442
237	52232	123339
238	52424	123054
239	52640	122828
240	52872	122637
241	53106	122451
242	53428	122468
243	53731	122436
244	53960	122236
245	54252	122177
246	54521	122066
247	54939	122285
248	55318	122412
249	55668	122470
250	56162	122841
